Accession no.,Title,Object type,Artist,Date,Department,Culture,Materials,Technique,Dimensions,Credit line,Location,Credit,Image
1979.57,Ruin by the Sea,Painting,Arnold Böcklin,1881,Modern European Painting and Sculpture,Switzerland,,oil on fabric,Framed: 132.1 x 102.9 x 8.3 cm (52 x 40 1/2 x 3 1/4 in.); Unframed: 111 x 82 cm (43 11/16 x 32 5/16 in.),Mr. and Mrs. William H. Marlatt Fund,219 19th Century European,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1979.57/1979.57_web.jpg
1991.1,Red-Figure Calyx-Krater (Mixing Vessel): Medea in Chariot (A); Telephos with Baby Orestes (B),Ceramic,Policoro Painter,c. 400 BCE,Greek and Roman Art,"South Italian, Lucanian",,ceramic,Diameter of mouth: 49.9 cm (19 5/8 in.); Overall: 50.5 cm (19 7/8 in.); Diameter of foot: 22 cm (8 11/16 in.),Leonard C. Hanna Jr. Fund,102D Pre-Roman,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1991.1/1991.1_web.jpg
1942.635,The Annunciation,Painting,Albert Bouts,c. 1480,Medieval Art,"Netherlands, Leuven, 15th century",,oil on wood,Framed: 75.2 x 69 x 8.5 cm (29 5/8 x 27 3/16 x 3 3/8 in.); Unframed: 50.2 x 41.5 cm (19 3/4 x 16 5/16 in.),Bequest of John L. Severance,112 Northern Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1942.635/1942.635_web.jpg
1944.485,The Wade Cup with Animated Script,Metalwork,,1200–1221,Islamic Art,"Iran, Seljuq period of Iran (1037–1194)",,brass inlaid with silver,Overall: 11.5 cm (4 1/2 in.); Diameter: 16.1 cm (6 5/16 in.),Purchase from the J. H. Wade Fund,116 Islamic,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1944.485/1944.485_web.jpg
2014.12,Vale of Kashmir,Painting,Robert S. Duncanson,1867,American Painting and Sculpture,America,,oil on canvas,Framed: 94.9 x 154.6 x 12.1 cm (37 3/8 x 60 7/8 x 4 3/4 in.); Unframed: 73 x 132.4 cm (28 3/4 x 52 1/8 in.),Sundry Purchase Fund,206 American Landscape,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/2014.12/2014.12_web.jpg
1926.1976,Violette Heymann,Drawing,Odilon Redon,1910,Drawings,"France, early 20th Century",,pastel on gray wove paper,Unframed: 72 x 92 cm (28 3/8 x 36 1/4 in.),Hinman B. Hurlbut Collection,The Cleveland Museum of Art,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1926.1976/1926.1976_web.jpg
1924.859,Table Fountain,Metalwork,,c. 1320–40,Medieval Art,"France, Paris",,gilt-silver and translucent enamels,Overall: 33.8 x 25.4 x 26 cm (13 5/16 x 10 x 10 1/4 in.),Gift of J. H. Wade,109 Gothic Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1924.859/1924.859_web.jpg
1959.42,Saint Lawrence,Sculpture,Tilman Riemenschneider,1502–8,Medieval Art,"Germany, Würzburg, 16th century",,lindenwood with polychromy and gilding,Overall: 93.8 x 38.5 x 21.8 cm (36 15/16 x 15 3/16 x 8 9/16 in.),Leonard C. Hanna Jr. Fund,111 German and Austrian Gothic,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1959.42/1959.42_web.jpg
1974.39,"Interior of the Pantheon, Rome",Painting,Giovanni Paolo Panini,1747,European Painting and Sculpture,"Italy, 18th century",,oil on canvas,Framed: 147.5 x 120 x 5 cm (58 1/16 x 47 1/4 x 1 15/16 in.); Unframed: 127 x 97.8 cm (50 x 38 1/2 in.),Purchase from the J. H. Wade Fund,201 Neoclassical Painting & Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1974.39/1974.39_web.jpg
1951.356,"Edge of the Woods Near L'Hermitage, Pontoise",Painting,Camille Pissarro,1879,Modern European Painting and Sculpture,"France, 19th century",,oil on fabric,Framed: 166 x 204 x 16.5 cm (65 3/8 x 80 5/16 x 6 1/2 in.); Unframed: 125 x 163 cm (49 3/16 x 64 3/16 in.),Gift of the Hanna Fund,222 Impressionism & Post-Impressionism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1951.356/1951.356_web.jpg
1951.454,Saint Peter Repentant,Painting,Georges de La Tour,1645,European Painting and Sculpture,France,,oil on canvas,Framed: 140.3 x 119.1 x 7 cm (55 1/4 x 46 7/8 x 2 3/4 in.); Unframed: 114 x 95 cm (44 7/8 x 37 3/8 in.),Gift of the Hanna Fund,217 Italian Baroque,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1951.454/1951.454_web.jpg
1918.501,Amitabha Triad,Sculpture,,1400s,Korean Art,"Korea, Joseon dynasty (1392–1910)",,bronze with traces of gilding,Overall: 40.6 x 16.5 x 54.6 cm (16 x 6 1/2 x 21 1/2 in.),Worcester R. Warner Collection,236 Korean,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1918.501/1918.501_web.jpg
